data_name,size,algorithm,execution_time,memory_usage,comparisons,swaps,recursion_depth,correctness,error
triangular_data,1000,QuickSortHoare_median_of_random_three,0.013976499998534564,0.0,13221,3645,16,True,
triangular_data,1000,QuickSortDualPivot,0.01163329999690177,0.0,23629,24040,69,True,
triangular_data,1000,QuickSortThreeWay,0.009261100000003353,0.0,8422,8422,14,True,
few_unique_data,1000,QuickSortLomuto_last,0.05616379999992205,0.00390625,101937,102387,218,True,
few_unique_data,1000,QuickSortHoare_last,0.004499700000451412,0.0,12994,5140,16,True,
few_unique_data,1000,QuickSortLomuto_random,0.05636719999893103,0.015625,101756,102600,218,True,
few_unique_data,1000,QuickSortHoare_random,0.0038181999989319593,0.0,12508,5134,15,True,
few_unique_data,1000,QuickSortLomuto_median_of_three,0.04835979999916162,0.00390625,102435,103457,219,True,
few_unique_data,1000,QuickSortHoare_median_of_three,0.005610300002445001,0.0,12027,5229,13,True,
few_unique_data,1000,QuickSortLomuto_median_of_random_three,0.057013500001630746,0.015625,102687,103304,218,True,
few_unique_data,1000,QuickSortHoare_median_of_random_three,0.008057000006374437,0.0,11877,5229,13,True,
few_unique_data,1000,QuickSortDualPivot,0.010115500001120381,0.00390625,54223,1998,115,True,
few_unique_data,1000,QuickSortThreeWay,0.0007341000018641353,0.0,2355,1365,3,True,
identical_elements,5000,QuickSortLomuto_last,4.339783199997328,1.171875,12497500,12507498,4998,True,
identical_elements,5000,QuickSortHoare_last,0.024388700003328267,0.0,69606,34803,12,True,
identical_elements,5000,QuickSortLomuto_random,5.896400199999334,0.8203125,12497500,12507498,4998,True,
identical_elements,5000,QuickSortHoare_random,0.02743150000605965,0.0,69606,34803,12,True,
identical_elements,5000,QuickSortLomuto_median_of_three,4.9502447999984724,0.78515625,12497500,12507498,4998,True,
identical_elements,5000,QuickSortHoare_median_of_three,0.032640199999150354,0.0,69606,34803,12,True,
identical_elements,5000,QuickSortLomuto_median_of_random_three,4.365226800000528,0.8203125,12497500,12507498,4998,True,
identical_elements,5000,QuickSortHoare_median_of_random_three,0.04076809999969555,0.0,69606,34803,12,True,
identical_elements,5000,QuickSortDualPivot,1.0229905000014696,0.4296875,6250000,5000,2499,True,
identical_elements,5000,QuickSortThreeWay,0.0008736999952816404,0.0,4999,1,0,True,
sorted_data,5000,QuickSortLomuto_last,4.144591000003857,0.95703125,12497500,12507498,4998,True,
sorted_data,5000,QuickSortHoare_last,1.381364200002281,0.765625,12512497,9998,4998,True,
sorted_data,5000,QuickSortLomuto_random,0.026724600000306964,0.0,72044,38027,25,True,
sorted_data,5000,QuickSortHoare_random,0.026024899998446926,0.0,88005,8582,26,True,
sorted_data,5000,QuickSortLomuto_median_of_three,0.022203700005775318,0.0,51822,30713,11,True,
sorted_data,5000,QuickSortHoare_median_of_three,0.022988199998508207,0.0,70821,8331,13,True,
sorted_data,5000,QuickSortLomuto_median_of_random_three,0.03355230000306619,0.0,61567,37335,19,True,
sorted_data,5000,QuickSortHoare_median_of_random_three,0.03451810000115074,0.0,79497,8169,21,True,
sorted_data,5000,QuickSortDualPivot,1.0374707000009948,0.37890625,6250000,5000,2499,True,
sorted_data,5000,QuickSortThreeWay,0.040740799995546695,0.0,60586,63454,19,True,
random_data,5000,QuickSortLomuto_last,0.021973000002617482,0.0,69315,42985,27,True,
random_data,5000,QuickSortHoare_last,0.024524699998437427,0.0,99809,18852,33,True,
random_data,5000,QuickSortLomuto_random,0.028023200000461657,0.0,70516,38397,28,True,
random_data,5000,QuickSortHoare_random,0.02964819999760948,0.0,89855,19612,29,True,
random_data,5000,QuickSortLomuto_median_of_three,0.021963200000755023,0.0,57611,35398,18,True,
random_data,5000,QuickSortHoare_median_of_three,0.03046339999855263,0.0,83429,20680,26,True,
random_data,5000,QuickSortLomuto_median_of_random_three,0.034181499999249354,0.0,59129,38501,20,True,
random_data,5000,QuickSortHoare_median_of_random_three,0.039762799999152776,0.0,83018,20688,23,True,
random_data,5000,QuickSortDualPivot,0.0195808999997098,0.0,42120,32521,15,True,
random_data,5000,QuickSortThreeWay,0.042286000003514346,0.0,59802,62659,19,True,
almost_sorted_data,5000,QuickSortLomuto_last,2.3871478000000934,0.31640625,5652779,5173871,2238,True,
almost_sorted_data,5000,QuickSortHoare_last,0.9104226999988896,0.27734375,5688734,9994,1916,True,
almost_sorted_data,5000,QuickSortLomuto_random,0.03347040000517154,0.0,73376,43987,25,True,
almost_sorted_data,5000,QuickSortHoare_random,0.023687599998083897,0.0,91298,8621,28,True,
almost_sorted_data,5000,QuickSortLomuto_median_of_three,0.12527480000426294,0.02734375,762802,19898,399,True,
almost_sorted_data,5000,QuickSortHoare_median_of_three,0.018732199998339638,0.0,73244,8346,15,True,
almost_sorted_data,5000,QuickSortLomuto_median_of_random_three,0.033728200003679376,0.0,59149,34470,18,True,
almost_sorted_data,5000,QuickSortHoare_median_of_random_three,0.03710259999934351,0.0,78213,8158,20,True,
almost_sorted_data,5000,QuickSortDualPivot,0.23459120000188705,0.08984375,1313828,66595,758,True,
almost_sorted_data,5000,QuickSortThreeWay,0.03848229999857722,0.0,59521,62366,19,True,
reverse_sorted_data,5000,QuickSortLomuto_last,2.7217296000017086,0.79296875,12497500,6257498,4998,True,
reverse_sorted_data,5000,QuickSortHoare_last,1.3903688999998849,0.8046875,12509997,7498,4998,True,
reverse_sorted_data,5000,QuickSortLomuto_random,0.03358770000340883,0.0,71022,42722,26,True,
reverse_sorted_data,5000,QuickSortHoare_random,0.025918399995134678,0.0,92049,11080,27,True,
reverse_sorted_data,5000,QuickSortLomuto_median_of_three,0.04223620000266237,0.0,100346,64520,26,True,
reverse_sorted_data,5000,QuickSortHoare_median_of_three,0.024986799995531328,0.0,70825,10832,13,True,
reverse_sorted_data,5000,QuickSortLomuto_median_of_random_three,0.03589210000063758,0.0,58462,35774,19,True,
reverse_sorted_data,5000,QuickSortHoare_median_of_random_three,0.034323899999435525,0.0,76565,10763,20,True,
reverse_sorted_data,5000,QuickSortDualPivot,1.043567599997914,0.3828125,6250000,7500,2499,True,
reverse_sorted_data,5000,QuickSortThreeWay,0.051294299999426585,0.0,61742,64601,18,True,
triangular_data,5000,QuickSortLomuto_last,0.5152492999986862,0.15234375,1528273,1478150,1034,True,
triangular_data,5000,QuickSortHoare_last,0.04828020000422839,0.0,227663,19868,91,True,
